bin_index,bin_min_distance,bin_max_distance,mCherry_length_before_subsampling,mCherry_mean_distance_before_subsampling,mCherry_mean_ch1_before_subsampling,mCherry_mean_ch2_before_subsampling,mCherry_length_after_subsampling,mCherry_mean_ch1_after_subsampling,mCherry_mean_ch2_after_subsampling
0,0,100,26042,64.10546919878048,44.63171031410798,43.37485600184318,300,45.03333333333333,43.95333333333333
1,100,200,51571,150.93171061030662,107.84991565026856,101.54902949331989,300,108.85666666666667,101.92
2,200,300,35645,244.9344795810882,176.6949081217562,163.29855519708235,300,176.92666666666668,165.74333333333334
3,300,400,23543,347.9342371764333,251.99961772076625,231.8028288663297,300,255.1,228.82333333333332
4,400,500,18014,447.84128612056264,326.1750860441879,297.9218940823804,300,323.0,304.86
5,500,600,13576,547.8754564108348,399.38413376546845,364.8291838538598,300,403.12333333333333,362.58
6,600,700,10913,648.4357237958421,471.7591862915788,434.2103912764593,300,468.1666666666667,439.79
7,700,800,9105,748.6495359440428,542.0112026359143,504.4384404173531,300,532.2933333333333,516.3233333333334
8,800,900,7925,848.7419263998612,612.9531861198739,575.2478233438486,300,613.3933333333333,578.12
9,900,1000,7143,949.5143166928215,684.2354752904942,645.5200895982081,300,687.5766666666667,637.5
10,1000,1100,6681,1049.242448546143,754.1061218380482,715.5539589881754,300,752.26,716.1033333333334
11,1100,1200,6064,1149.2901212729246,823.2622031662269,787.3286609498681,300,822.1866666666666,790.07
12,1200,1300,5426,1249.81494964544,898.098046443052,853.2722078879469,300,901.4033333333333,848.4833333333333
13,1300,1400,4854,1348.9839315106933,961.6553358055212,928.9245982694684,300,960.3133333333334,932.6033333333334
14,1400,1500,4201,1448.4918727186123,1037.6200904546536,992.7605332063795,300,1034.7966666666666,995.9033333333333
15,1500,1600,3626,1548.3959199634182,1106.900165471594,1061.5598455598456,300,1117.8166666666666,1051.84
16,1600,1700,3174,1649.1504891334728,1176.8509766855702,1132.2709514807814,300,1190.7966666666666,1122.49
17,1700,1800,2592,1748.5331537318207,1240.8499228395062,1206.142361111111,300,1235.22,1212.9966666666667
18,1800,1900,2152,1849.509467492922,1318.8624535315985,1265.8949814126395,300,1312.3733333333332,1270.9566666666667
19,1900,2000,1858,1948.685338992444,1378.994617868676,1344.9634015069967,300,1394.5166666666667,1328.6833333333334
20,2000,2100,1502,2049.2286672575547,1448.2743009320905,1412.3468708388814,300,1445.2733333333333,1419.4233333333334
21,2100,2200,1236,2149.884709511795,1511.722491909385,1483.7985436893205,300,1511.2433333333333,1482.1766666666667
22,2200,2300,1095,2250.3043883473865,1579.633789954338,1554.4767123287672,300,1592.72,1541.6666666666667
23,2300,2400,979,2348.9724167957243,1653.341164453524,1619.3861082737487,300,1690.18,1573.49
24,2400,2500,894,2447.6779504840692,1710.7035794183446,1694.4809843400446,300,1723.4033333333334,1687.8
25,2500,2600,768,2550.684837457411,1805.1692708333333,1739.265625,300,1840.7433333333333,1704.07
26,2600,2700,686,2649.163914480458,1844.8279883381924,1841.3236151603498,300,1848.92,1840.0566666666666
27,2700,2800,625,2749.2822164298864,1933.5712,1886.8784,300,1963.36,1855.04
28,2800,2900,561,2849.837418818952,1996.9625668449198,1963.73440285205,300,2016.2633333333333,1951.2633333333333
29,2900,3000,522,2949.067878318147,2057.2681992337166,2036.4195402298851,300,2063.7533333333336,2034.17
30,3000,3100,444,3048.9031523920066,2147.108108108108,2085.484234234234,300,2127.37,2106.9966666666664
31,3100,3200,393,3151.3858706253704,2177.173027989822,2200.5190839694656,300,2187.7566666666667,2184.15
32,3200,3300,379,3248.269190006277,2265.126649076517,2232.562005277045,300,2274.0233333333335,2221.9966666666664
33,3300,3400,380,3348.35854026475,2333.7236842105262,2305.0815789473686,300,2338.68,2302.713333333333
34,3400,3500,300,3447.483979238426,2435.8033333333333,2324.78,300,2435.8033333333333,2324.78
35,3500,3600,300,3550.5677075834665,2494.27,2408.4,300,2494.27,2408.4
36,3600,3700,252,3648.6925000459864,2555.2579365079364,2492.6785714285716,252,2555.2579365079364,2492.6785714285716
37,3700,3800,254,3746.305103886368,2640.4251968503936,2536.0236220472443,254,2640.4251968503936,2536.0236220472443
38,3800,3900,230,3848.102805509806,2716.1391304347826,2611.282608695652,230,2716.1391304347826,2611.282608695652
39,3900,4000,218,3949.962523523449,2807.587155963303,2622.545871559633,218,2807.587155963303,2622.545871559633
40,4000,4100,186,4049.006375094864,2757.3064516129034,2791.2849462365593,186,2757.3064516129034,2791.2849462365593
41,4100,4200,188,4148.009784537959,2958.553191489362,2776.5478723404253,188,2958.553191489362,2776.5478723404253
42,4200,4300,67,4218.032324415562,2908.7462686567164,2895.313432835821,67,2908.7462686567164,2895.313432835821
