fp1,fp2,acquisition_1,acquisition_2,fp_name,mean_mCherry_distance,mean_mNeptune_distance,computed_distance_from_origin,N_fluorophores_scaled,predicted_variance_at_computed_distance,measured_variance_at_computed_distance
mCherry,mNeptune,1080nm_BR2_230poc_20mW,1080nm_Red_306poc_30mW,mCherry,835.5325402779898,1139.291634332178,834.7480391124295,10.30886995987705,592.8600804983288,5772.199197387147
mCherry,mNeptune,1080nm_BR2_230poc_20mW,1080nm_Red_306poc_30mW,mNeptune,835.5325402779898,1139.291634332178,1138.6219874267833,18.0260305911141,999.6408893925354,8900.458864508826
mCherry,mNeptune,1080nm_BR2_230poc_20mW,1080nm_FarRed_306poc_30mW,mCherry,820.7659548446519,1820.38783787894,820.0301403996483,11.43535354399113,615.1609304803709,6077.077686958373
mCherry,mNeptune,1080nm_BR2_230poc_20mW,1080nm_FarRed_306poc_30mW,mNeptune,820.7659548446519,1820.38783787894,1819.9452740800443,18.38476731919999,1323.5152405516078,30625.00065418545
mCherry,mNeptune,1080nm_BR2_230poc_20mW,1240nm_BR2_377poc_20mW,mCherry,620.2629122947548,1097.1720490734297,618.5160126861821,10.328955366485646,618.8159294171778,170.6078277007145
mCherry,mNeptune,1080nm_BR2_230poc_20mW,1240nm_BR2_377poc_20mW,mNeptune,620.2629122947548,1097.1720490734297,1096.3887625277941,16.190009653600473,865.8979061611715,3720.0447058901786
mCherry,mNeptune,1080nm_BR2_230poc_20mW,1240nm_FarRed_493poc_30mW,mCherry,619.3899930122241,1113.9279056567686,617.8000115401524,10.319114110613103,618.7608585937136,145.53957783091292
mCherry,mNeptune,1080nm_BR2_230poc_20mW,1240nm_FarRed_493poc_30mW,mNeptune,619.3899930122241,1113.9279056567686,1113.2649812024315,15.201292637963316,819.3265369858672,6025.374985010788
mCherry,mNeptune,1080nm_Red_306poc_30mW,1080nm_FarRed_306poc_30mW,mCherry,769.822171305639,1501.6735409354492,769.1835309017746,11.450464382433585,564.5502408132572,5179.254626170062
mCherry,mNeptune,1080nm_Red_306poc_30mW,1080nm_FarRed_306poc_30mW,mNeptune,769.822171305639,1501.6735409354492,1501.1340399049902,18.37743980729074,1382.6277532273627,8032.346858202824
mCherry,mNeptune,1080nm_Red_306poc_30mW,1240nm_BR2_377poc_20mW,mCherry,550.8877164693896,448.29238913133554,549.0426573332504,10.100806412716917,549.3341375201622,189.39083626177958
mCherry,mNeptune,1080nm_Red_306poc_30mW,1240nm_BR2_377poc_20mW,mNeptune,550.8877164693896,448.29238913133554,445.8110002499004,11.710821227515677,337.00363922676763,3725.6114975002138
mCherry,mNeptune,1080nm_Red_306poc_30mW,1240nm_FarRed_493poc_30mW,mCherry,549.9617375312233,485.047312192861,548.0978625080719,10.089393699341485,549.2856224466489,112.05972561973633
mCherry,mNeptune,1080nm_Red_306poc_30mW,1240nm_FarRed_493poc_30mW,mNeptune,549.9617375312233,485.047312192861,483.09035499842884,10.242674619715071,392.6329062781517,4807.006024953731
mCherry,mNeptune,1080nm_FarRed_306poc_30mW,1240nm_BR2_377poc_20mW,mCherry,528.8785858206782,1471.508743014085,527.5792836183163,13.4033487055565,526.0634143312849,220.51491964671266
mCherry,mNeptune,1080nm_FarRed_306poc_30mW,1240nm_BR2_377poc_20mW,mNeptune,528.8785858206782,1471.508743014085,1470.8136213586542,17.25228216492463,1248.4500273837148,3748.180595572875
mCherry,mNeptune,1080nm_FarRed_306poc_30mW,1240nm_FarRed_493poc_30mW,mCherry,527.8484883276054,1483.2472741388394,526.5609593340612,13.391358868196049,526.6170948178124,145.79376011671437
mCherry,mNeptune,1080nm_FarRed_306poc_30mW,1240nm_FarRed_493poc_30mW,mNeptune,527.8484883276054,1483.2472741388394,1482.9326540342545,16.529402998259815,1170.5918958478044,5803.570526067423
mCherry,mNeptune,1240nm_BR2_377poc_20mW,1240nm_FarRed_493poc_30mW,mCherry,67.43223538881348,384.7784155386951,49.455733315202174,23.479924961850983,50.5402014073613,79.50164143115963
mCherry,mNeptune,1240nm_BR2_377poc_20mW,1240nm_FarRed_493poc_30mW,mNeptune,67.43223538881348,384.7784155386951,382.04454582417117,7.219545879344236,279.75362535608724,2959.9179717154584
