Wavelength,Excitation,Emission
300,14.98748194,0
301,15.65822913,0
302,16.39151355,0
303,17.00894454,0
304,17.64575404,0
305,18.31906278,0
306,18.90093204,0
307,19.34202663,0
308,20.07972966,0
309,20.72149305,0
310,21.4562342,0
311,22.2197552,0
312,22.9750859,0
313,23.81049655,0
314,24.31102628,0
315,24.87609774,0
316,25.39874361,0
317,25.91201937,0
318,26.52821198,0
319,26.96976989,0
320,27.51082467,0
321,28.45072005,0
322,29.53334762,0
323,30.58410109,0
324,31.90717241,0
325,33.63872442,0
326,35.56230548,0
327,37.46458243,0
328,39.90431048,0
329,42.28295987,0
330,44.63289265,0
331,47.19163695,0
332,49.69357017,0
333,52.18990471,0
334,55.24340456,0
335,57.78207554,0
336,60.4823058,0
337,63.04274436,0
338,65.64939721,0
339,68.15375201,0
340,70.74710615,0
341,73.33224577,0
342,76.1450014,0
343,78.66799707,0
344,81.01023939,0
345,83.77409509,0
346,86.00575034,0
347,88.45906132,0
348,90.54406488,0
349,92.92821237,0
350,94.44461124,0
351,96.00176587,0
352,97.38737823,0
353,98.80495625,0
354,99.23106756,0
355,99.70942081,0
356,100,0
357,99.40791524,0
358,98.93085547,0
359,98.68197281,0
360,97.81482088,0
361,97.10761877,0
362,96.62869091,0
363,95.52231513,0
364,94.482078,0
365,93.90837224,0
366,92.6599722,0
367,91.60947021,0
368,90.38331796,0
369,88.96955335,0
370,86.98475099,3.429325431
371,84.66195171,3.44420911
372,81.86184654,3.890392513
373,78.57979872,4.655197735
374,75.39387077,5.582463769
375,70.90809218,6.911229267
376,66.58096139,8.365327844
377,62.00144511,10.19090795
378,57.57926594,12.38838741
379,52.79678846,14.82483269
380,47.89627734,17.7086196
381,42.96292206,20.81590119
382,38.40339249,24.11380983
383,34.05668809,27.77040081
384,30.00880997,31.5805197
385,26.2982937,35.70808871
386,23.00765658,40.02191678
387,19.95840387,44.17699822
388,17.25673483,48.42994295
389,14.72091345,52.60953473
390,12.55913765,56.40780983
391,10.69877194,60.30409118
392,9.089156995,63.90773754
393,7.754063789,67.63671104
394,6.625809356,71.15887211
395,5.675385882,74.06698034
396,4.834865244,77.04949078
397,4.167921897,79.915443
398,3.619640857,82.15517487
399,3.123512828,84.20610685
400,2.701387311,86.07081214
401,2.366059676,88.04295881
402,2.113032545,89.46239724
403,1.89761461,91.01831344
404,1.729898811,92.05727675
405,1.616444804,93.58014307
406,1.535685588,94.82891896
407,1.504805294,96.21005842
408,1.457305822,97.30671584
409,1.45464947,98.20885352
410,1.448856486,98.93863712
411,0,99.51043352
412,0,99.71705308
413,0,99.92387192
414,0,100
415,0,99.39498166
416,0,98.92001636
417,0,98.28678727
418,0,97.38990476
419,0,96.25504863
420,0,94.93427597
421,0,93.63770836
422,0,92.39174304
423,0,90.90656851
424,0,89.41904238
425,0,87.79717851
426,0,86.25201523
427,0,84.3871756
428,0,82.67816845
429,0,80.96649084
430,0,79.09316154
431,0,77.56164104
432,0,75.8685087
433,0,74.33208571
434,0,72.5009288
435,0,70.64034549
436,0,68.98982398
437,0,67.20356972
438,0,65.49453419
439,0,63.54278198
440,0,61.69482508
441,0,59.84403829
442,0,58.12410169
443,0,56.21424287
444,0,54.38180207
445,0,52.57336703
446,0,50.89626048
447,0,49.13609606
448,0,47.48068354
449,0,45.87651103
450,0,44.2161163
451,0,42.7147028
452,0,41.21101742
453,0,39.59723922
454,0,38.25078133
455,0,37.03726616
456,0,35.57878236
457,0,34.30735103
458,0,32.97989678
459,0,31.67752445
460,0,30.42738857
461,0,29.31095271
462,0,28.11143904
463,0,26.99702626
464,0,25.98964523
465,0,25.04330465
466,0,23.91865613
467,0,22.82229124
468,0,21.85511617
469,0,20.98468899
470,0,20.08294301
471,0,19.2426799
472,0,18.46677057
473,0,17.71979854
474,0,16.88685988
475,0,16.2526634
476,0,15.5407682
477,0,14.87445776
478,0,14.21539886
479,0,13.66526098
480,0,13.10331268
481,0,12.52953004
482,0,12.03750193
483,0,11.52270593
484,0,10.99336612
485,0,10.62880683
486,0,10.12840632
487,0,9.693591182
488,0,9.291321616
489,0,8.819280478
490,0,8.407473524
491,0,8.003361701
492,0,7.666512709
493,0,7.417138903
494,0,7.211827292
495,0,6.955880717
496,0,6.748145596
497,0,6.482629956
498,0,6.313454919
499,0,6.121521235
500,0,5.903330891
501,0,5.675500443
502,0,5.459333031
503,0,5.248345928
504,0,5.069109593
505,0,4.906959949
506,0,4.755690826
507,0,4.542510677
508,0,4.418789622
509,0,4.279589857
510,0,4.130552854
511,0,4.017091674
512,0,3.858355077
513,0,3.787699939
514,0,3.681802168
515,0,3.544006251
516,0,3.386274254
517,0,3.271442406
518,0,3.209751027
519,0,3.102139222
520,0,3.006523286
521,0,2.978150626
522,0,2.827209584
523,0,2.758921752
524,0,2.650989151
525,0,2.543098905
526,0,2.452256275
527,0,2.416959331
528,0,2.357979361
529,0,2.257822982
530,0,2.156274203
531,0,2.091651635
532,0,2.009252011
533,0,1.952657957
534,0,1.894870008
535,0,1.856782537
536,0,1.774331571
537,0,1.692854771
538,0,1.669699024
539,0,1.612878571
540,0,1.577133167
541,0,1.531414181
542,0,1.491309199
543,0,1.451825387
544,0,1.428903738
545,0,1.409794096
546,0,1.381806697
547,0,1.335607371
548,0,1.322229466
549,0,1.267366231
550,0,1.255211966
551,0,1.23746359
552,0,1.20175043
553,0,1.188126558
554,0,1.165320827
555,0,1.159436167
556,0,1.120343503
557,0,1.106171908
558,0,1.071969274
559,0,1.048807405
560,0,1.061500866
561,0,1.073832282
562,0,1.043153442
563,0,1.028714842
564,0,1.018416416
565,0,1.005520116
566,0,0.988481529
567,0,0.968161679
568,0,0.956551534
569,0,0.943199162
570,0,0.91893464
571,0,0.887431513
572,0,0.869687283
573,0,0.852820552
574,0,0.872081386
575,0,0.866536546
576,0,0.830037498
577,0,0.834587993
578,0,0.816124836
579,0,0.796628615
580,0,0.768109825
581,0,0.767494459
582,0,0.763459937
583,0,0.756597357
584,0,0.724908171
585,0,0.685521149
586,0,0.674676789
587,0,0.681259191
588,0,0.634394271
589,0,0.649510167
590,0,0.639934598
591,0,0.608728942
592,0,0.612509947
593,0,0.572143306
594,0,0.561793889
595,0,0.556568022
596,0,0.546111928
597,0,0.525962676
598,0,0.52958454
599,0,0.514120628
600,0,0.529351156
601,0,0
602,0,0
603,0,0
604,0,0
605,0,0
606,0,0
607,0,0
608,0,0
609,0,0
610,0,0
611,0,0
612,0,0
613,0,0
614,0,0
615,0,0
616,0,0
617,0,0
618,0,0
619,0,0
620,0,0
621,0,0
622,0,0
623,0,0
624,0,0
625,0,0
626,0,0
627,0,0
628,0,0
629,0,0
630,0,0
631,0,0
632,0,0
633,0,0
634,0,0
635,0,0
636,0,0
637,0,0
638,0,0
639,0,0
640,0,0
641,0,0
642,0,0
643,0,0
644,0,0
645,0,0
646,0,0
647,0,0
648,0,0
649,0,0
650,0,0
651,0,0
652,0,0
653,0,0
654,0,0
655,0,0
656,0,0
657,0,0
658,0,0
659,0,0
660,0,0
661,0,0
662,0,0
663,0,0
664,0,0
665,0,0
666,0,0
667,0,0
668,0,0
669,0,0
670,0,0
671,0,0
672,0,0
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,0,0
681,0,0
682,0,0
683,0,0
684,0,0
685,0,0
686,0,0
687,0,0
688,0,0
689,0,0
690,0,0
691,0,0
692,0,0
693,0,0
694,0,0
695,0,0
696,0,0
697,0,0
698,0,0
699,0,0
700,0,0
701,0,0
702,0,0
703,0,0
704,0,0
705,0,0
706,0,0
707,0,0
708,0,0
709,0,0
710,0,0
711,0,0
712,0,0
713,0,0
714,0,0
715,0,0
716,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0
723,0,0
724,0,0
725,0,0
726,0,0
727,0,0
728,0,0
729,0,0
730,0,0
731,0,0
732,0,0
733,0,0
734,0,0
735,0,0
736,0,0
737,0,0
738,0,0
739,0,0
740,0,0
741,0,0
742,0,0
743,0,0
744,0,0
745,0,0
746,0,0
747,0,0
748,0,0
749,0,0
750,0,0
751,0,0
752,0,0
753,0,0
754,0,0
755,0,0
756,0,0
757,0,0
758,0,0
759,0,0
760,0,0
761,0,0
762,0,0
763,0,0
764,0,0
765,0,0
766,0,0
767,0,0
768,0,0
769,0,0
770,0,0
771,0,0
772,0,0
773,0,0
774,0,0
775,0,0
776,0,0
777,0,0
778,0,0
779,0,0
780,0,0
781,0,0
782,0,0
783,0,0
784,0,0
785,0,0
786,0,0
787,0,0
788,0,0
789,0,0
790,0,0
791,0,0
792,0,0
793,0,0
794,0,0
795,0,0
796,0,0
797,0,0
798,0,0
799,0,0
800,0,0
801,0,0
802,0,0
803,0,0
804,0,0
805,0,0
806,0,0
807,0,0
808,0,0
809,0,0
810,0,0
811,0,0
812,0,0
813,0,0
814,0,0
815,0,0
816,0,0
817,0,0
818,0,0
819,0,0
820,0,0
821,0,0
822,0,0
823,0,0
824,0,0
825,0,0
826,0,0
827,0,0
828,0,0
829,0,0
830,0,0
831,0,0
832,0,0
833,0,0
834,0,0
835,0,0
836,0,0
837,0,0
838,0,0
839,0,0
840,0,0
841,0,0
842,0,0
843,0,0
844,0,0
845,0,0
846,0,0
847,0,0
848,0,0
849,0,0
850,0,0
851,0,0
852,0,0
853,0,0
854,0,0
855,0,0
856,0,0
857,0,0
858,0,0
859,0,0
860,0,0
861,0,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,0
867,0,0
868,0,0
869,0,0
870,0,0
871,0,0
872,0,0
873,0,0
874,0,0
875,0,0
876,0,0
877,0,0
878,0,0
879,0,0
880,0,0
881,0,0
882,0,0
883,0,0
884,0,0
885,0,0
886,0,0
887,0,0
888,0,0
889,0,0
890,0,0
891,0,0
892,0,0
893,0,0
894,0,0
895,0,0
896,0,0
897,0,0
898,0,0
899,0,0
900,0,0
901,0,0
902,0,0
903,0,0
904,0,0
905,0,0
906,0,0
907,0,0
908,0,0
909,0,0
910,0,0
911,0,0
912,0,0
913,0,0
914,0,0
915,0,0
916,0,0
917,0,0
918,0,0
919,0,0
920,0,0
921,0,0
922,0,0
923,0,0
924,0,0
925,0,0
926,0,0
927,0,0
928,0,0
929,0,0
930,0,0
931,0,0
932,0,0
933,0,0
934,0,0
935,0,0
936,0,0
937,0,0
938,0,0
939,0,0
940,0,0
941,0,0
942,0,0
943,0,0
944,0,0
945,0,0
946,0,0
947,0,0
948,0,0
949,0,0
