Wavelength,Excitation,Emission
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0,0
457,0,0
458,0,0
459,0,0
460,0,0
461,0,0
462,0,0
463,0,0
464,0,0
465,0,0
466,0,0
467,0,0
468,0,0
469,0,0
470,3.306109948,0
471,3.205832224,0
472,3.245162275,0
473,3.20607676,0
474,3.231581322,0
475,3.333813411,0
476,3.294424676,0
477,3.428921199,0
478,3.452438125,0
479,3.556643357,0
480,3.605385987,0
481,3.641467381,0
482,3.63583834,0
483,3.804601673,0
484,3.815953277,0
485,3.97807361,0
486,4.17183442,0
487,4.268197897,0
488,4.423334617,0
489,4.506447185,0
490,4.451490048,0
491,4.767041094,0
492,4.852289473,0
493,4.915310496,0
494,5.176112231,0
495,5.380392787,0
496,5.517918915,0
497,5.662386099,0
498,5.894867755,0
499,5.963797821,0
500,6.194282618,0
501,6.27941917,0
502,6.453394576,0
503,6.718589273,0
504,6.815561356,0
505,7.16289951,0
506,7.316197861,0
507,7.418271728,0
508,7.791449685,0
509,7.946132685,0
510,8.167900535,0
511,8.389090134,0
512,8.604003557,0
513,8.948969175,0
514,9.177356067,0
515,9.504104998,0
516,9.923531376,0
517,10.19606166,0
518,10.61568529,0
519,11.00868362,0
520,11.30510181,0
521,11.65752447,0
522,11.90114671,0
523,12.3413672,0
524,12.6637157,0
525,12.98849982,0
526,13.07196471,0
527,13.45624073,0
528,13.99351703,0
529,14.26297056,0
530,14.52411009,0
531,15.00295334,0
532,15.36615877,0
533,15.91869355,0
534,16.13814426,0
535,16.55697954,0
536,16.96964363,0
537,17.35809128,0
538,17.56176104,0
539,17.99174982,0
540,18.30892107,0
541,18.70125423,0
542,19.11648572,0
543,19.34501142,0
