Wavelength,Excitation,Emission
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,3.894588074,0
401,4.017509089,0
402,4.078065777,0
403,4.158440117,0
404,4.302318636,0
405,4.213656002,0
406,4.272679985,0
407,4.268148929,0
408,4.364131066,0
409,4.40336619,0
410,4.47758438,0
411,4.578994573,0
412,4.480885187,0
413,4.532742103,0
414,4.686317891,0
415,4.725957745,0
416,4.737336278,0
417,4.93966204,0
418,4.926383378,0
419,5.09110528,0
420,5.100291299,0
421,5.165639349,0
422,5.385020153,0
423,5.4658745,0
424,5.537629389,0
425,5.735607948,0
426,5.904320837,0
427,6.123340189,0
428,6.232300919,0
429,6.490775401,0
430,6.786813759,0
431,7.138889483,0
432,7.421050436,0
433,7.768240328,0
434,8.23056119,0
435,8.358899425,0
436,8.647373184,0
437,8.716468951,0
438,9.063620055,0
439,9.598296977,0
440,9.86912222,0
441,10.35762943,0
442,11.01843506,0
443,11.61263411,0
444,11.92425566,0
445,12.20182762,0
446,12.91664651,0
447,13.35034685,0
448,13.79504327,0
449,14.61303661,0
450,15.43997367,0
451,15.8141099,0
452,16.13730733,0
453,16.98615609,0
454,17.83641782,0
455,18.36698747,0
456,18.85136526,0
457,19.67127507,0
458,20.5127969,0
459,21.43416902,0
460,22.19257241,0
461,23.31124858,0
462,24.24815217,0
463,25.27196528,0
464,26.34798888,0
465,27.43416642,0
466,28.47170143,0
467,29.54018083,0
468,30.72866775,0
469,31.99557321,0
470,33.18543963,0
471,34.06540951,0
472,35.39359932,0
473,36.62835302,0
474,37.58783854,0
475,38.84378401,0
476,40.21309688,0
477,41.80670864,0
478,43.33359061,0
479,44.54956419,0
480,45.95029884,0
481,47.21827143,0
482,48.84038396,0
483,50.53074132,0
484,51.88430057,0
485,53.48102798,0
486,54.99699381,0
487,56.68107419,0
488,58.11985413,0
489,60.19499293,0
490,61.71983546,0
491,63.63317888,0
492,65.01787039,0
493,66.65331,0
494,67.97737935,0
495,69.97758518,0
496,71.16851024,0
497,73.35305461,0
498,74.31162729,0
499,75.70629124,0
500,77.30613579,0
501,78.28948465,0
502,80.29796555,0
503,80.87323335,0
504,81.89507154,0
505,82.97984369,0
506,83.8628055,0
507,84.70484339,0
508,86.18823529,0
509,86.77755742,0
510,87.53965883,0
511,87.35314856,0
512,88.35450686,0
513,89.46770652,0
514,89.34016978,0
515,90.20605774,0
