Wavelength,Excitation,Emission
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0.665782479,0
401,0.618836567,0
402,0.624973888,0
403,0.652416977,0
404,0.673550994,0
405,0.677638063,0
406,0.678856878,0
407,0.658073073,0
408,0.691655027,0
409,0.726754588,0
410,0.762841518,0
411,0.795820388,0
412,0.787690635,0
413,0.841714634,0
414,0.893113088,0
415,0.871603448,0
416,0.907555051,0
417,0.947354628,0
418,0.987555232,0
419,1.031735631,0
420,1.074367762,0
421,1.111510258,0
422,1.132144083,0
423,1.208415694,0
424,1.277810596,0
425,1.353347143,0
426,1.410240124,0
427,1.423628452,0
428,1.501945106,0
429,1.550905716,0
430,1.647045371,0
431,1.716910794,0
432,1.795516832,0
433,1.92176754,0
434,2.018409526,0
435,2.098968121,0
436,2.214312687,0
437,2.332680653,0
438,2.48354894,0
439,2.685170312,0
440,2.916133941,0
441,3.151074154,0
442,3.324612038,0
443,3.550624449,0
444,3.889665385,0
445,4.287718114,0
446,4.623974073,0
447,4.961844495,0
448,5.22462031,0
449,5.517031488,0
450,5.768820269,0
451,6.124028225,0
452,6.425332578,0
453,6.839910156,0
454,7.181498233,0
455,7.540663614,0
456,7.975707247,0
457,8.391703781,0
458,8.934422554,0
459,9.560015212,0
460,10.03279458,0
461,10.69744961,0
462,11.4133678,0
463,12.04302095,0
464,12.75872684,0
465,13.58516548,0
466,14.26515718,0
467,15.28991659,0
468,16.26141271,0
469,17.29363368,0
470,18.80888396,0
471,20.30099916,0
472,21.66630503,0
473,22.98073923,0
474,24.57187189,0
475,26.16541468,0
476,27.91896539,0
477,29.47749164,0
478,31.22276618,0
479,32.57351263,0
480,34.01161877,0
481,35.27632745,0
482,36.47484626,0
483,37.47104466,0
484,38.35688121,0
485,39.17572051,0
486,39.93123587,0
487,40.58478341,0
488,41.25133369,0
489,41.74675492,0
490,42.29515805,0
491,43.13313147,0
492,44.06320777,0
493,45.01165756,0
494,46.47364343,0
495,47.95009146,0
496,49.26470641,0
497,51.15998464,0
498,53.21681789,0
499,55.65231636,0
500,57.94992879,3.386925181
501,60.86284233,3.421084737
502,64.07563553,3.558001491
503,67.27278333,3.812467547
504,70.7544098,4.258197151
505,74.60501927,4.90324827
506,78.88266855,5.837776822
507,82.3951363,7.114496146
508,86.76650775,8.644659557
509,90.50577721,10.57987559
510,93.86337398,12.88621738
