Wavelength,Excitation,Emission
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,2.879502358,0
423,3.019965887,0
424,3.210594963,0
425,3.361091602,0
426,3.541687569,0
427,3.682151099,0
428,3.902879502,0
429,4.083475469,0
430,4.294170764,0
431,4.484799839,0
432,4.695495134,0
433,4.856024882,0
434,5.006521521,0
435,5.237283034,0
436,5.508176984,0
437,5.789104043,0
438,5.929567573,0
439,6.160329086,0
440,6.531554129,0
441,7.003110264,0
442,7.32416976,0
443,7.564964382,0
444,7.86595766,0
445,8.176984047,0
446,8.528142871,0
447,8.839169259,0
448,9.240493629,0
449,9.571586235,0
450,9.972910605,0
451,10.2939701,0
452,10.7253938,0
453,11.08658573,0
454,11.45781078,0
455,11.76883716,0
456,12.06983044,0
457,12.43102237,0
458,12.83234674,0
459,13.25373733,0
460,13.53466439,0
461,13.88582322,0
462,14.33731313,0
463,14.88913414,0
464,15.44095515,0
465,16.0329086,0
466,16.6850607,0
467,17.35727902,0
468,18.06962978,0
469,18.79201365,0
470,19.51439751,0
471,20.22674827,0
472,20.92906592,0
473,21.59125113,0
474,22.22333701,0
475,22.80525735,0
476,23.31694592,0
477,23.75840273,0
478,24.12962777,0
479,24.37042239,0
480,24.52091903,0
481,24.69148189,0
482,24.96237584,0
483,25.32356777,0
484,25.64462727,0
485,26.0058192,0
486,26.35697803,0
487,26.84860038,0
488,27.23989164,0
489,27.71144778,0
490,28.08267282,0
491,28.62446072,0
492,29.06591753,0
493,29.61773854,0
494,30.06922845,0
495,30.63108257,0
496,31.15280425,0
497,31.98555232,0
498,33.05909501,0
499,34.2329688,0
500,35.23627972,0
501,36.32988863,0
502,37.69439149,0
503,39.31975519,0
504,41.03541688,0
505,42.791211,0
506,44.53697201,0
507,46.21250125,0
508,47.74756697,0
509,49.07193739,0
510,50.17557941,0
511,51.12872479,0
512,52.09190328,0
513,53.11528043,0
514,54.19885623,0
515,55.33259757,0
516,56.38607404,0
517,57.22885522,0
518,57.97130531,0
519,58.85421892,0
520,59.6970001,0
521,60.18862245,0
522,60.36921842,0
523,60.5598475,0
524,60.84077456,0
